                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58789,                0.84098,                 1.3048,                0.52677,                0.57611,                0.49631,                0.45029,                0.39627,                0.46063,                 1.4246,              0.0033324,              0.0033324,              0.0033324
                      2,                0.45243,                0.43328,                 1.2265,                0.68842,                0.56021,                0.53311,                0.48538,                0.37198,                0.42717,                 1.4227,              0.0065998,              0.0065998,              0.0065998
                      3,                0.46368,                0.42446,                 1.2054,                 0.6625,                0.59977,                0.53242,                0.48351,                0.37724,                 0.4525,                 1.4099,              0.0098011,              0.0098011,              0.0098011
                      4,                0.46348,                0.41993,                 1.1954,                0.70858,                0.55302,                0.53397,                  0.487,                0.36984,                0.45335,                 1.3937,               0.009703,               0.009703,               0.009703
                      5,                0.44595,                0.39704,                 1.1836,                0.70285,                0.55739,                0.53984,                 0.4938,                0.35942,                 0.4298,                 1.3994,               0.009604,               0.009604,               0.009604
                      6,                0.43312,                0.38642,                 1.1693,                0.69727,                0.54143,                0.53712,                0.49253,                0.35323,                0.43146,                 1.4084,               0.009505,               0.009505,               0.009505
                      7,                 0.4232,                0.37585,                 1.1595,                0.56637,                0.58138,                0.52681,                0.48245,                0.34943,                0.43709,                 1.4222,               0.009406,               0.009406,               0.009406
                      8,                0.41449,                0.36197,                 1.1513,                0.56417,                 0.6001,                0.52942,                0.48255,                0.34801,                0.42115,                 1.4265,               0.009307,               0.009307,               0.009307
                      9,                0.40618,                0.35857,                 1.1418,                0.57688,                 0.6064,                0.52978,                0.48266,                0.35663,                0.43316,                 1.4216,               0.009208,               0.009208,               0.009208
                     10,                0.40422,                0.35613,                 1.1408,                0.58122,                0.58327,                0.53505,                 0.4887,                0.34964,                0.44521,                 1.4291,               0.009109,               0.009109,               0.009109
                     11,                0.39753,                0.34758,                 1.1333,                0.46352,                0.62137,                0.53393,                0.48783,                0.33906,                0.44012,                 1.4326,                0.00901,                0.00901,                0.00901
                     12,                0.39161,                0.34487,                 1.1254,                 0.5662,                0.58421,                0.53481,                0.48999,                0.33337,                0.44707,                 1.4274,               0.008911,               0.008911,               0.008911
                     13,                 0.3891,                0.34057,                 1.1278,                0.46572,                0.60875,                0.52916,                0.48288,                0.33183,                0.44772,                 1.4208,               0.008812,               0.008812,               0.008812
                     14,                0.38311,                0.33638,                 1.1194,                0.44491,                0.60017,                0.53372,                0.48838,                0.32978,                0.43959,                 1.4105,               0.008713,               0.008713,               0.008713
                     15,                0.37848,                0.32942,                 1.1098,                0.45645,                0.59687,                0.53396,                0.49093,                0.32594,                0.41809,                 1.4341,               0.008614,               0.008614,               0.008614
                     16,                0.37417,                0.32749,                 1.1069,                0.45951,                0.56735,                0.52176,                0.47762,                0.33245,                0.46501,                 1.4363,               0.008515,               0.008515,               0.008515
                     17,                0.37096,                0.32353,                 1.1039,                0.46944,                0.59329,                0.51803,                0.47861,                0.33222,                0.45992,                 1.4562,               0.008416,               0.008416,               0.008416
                     18,                0.37052,                0.32246,                 1.1085,                0.48392,                0.57921,                0.53347,                 0.4915,                0.32601,                0.44361,                 1.4417,               0.008317,               0.008317,               0.008317
                     19,                0.36477,                0.31765,                 1.0993,                0.47124,                0.54503,                0.51726,                0.47716,                0.32417,                0.45069,                 1.4631,               0.008218,               0.008218,               0.008218
                     20,                0.36156,                0.31086,                 1.0953,                0.46274,                0.56318,                0.51809,                0.47742,                0.32511,                0.44182,                 1.4538,               0.008119,               0.008119,               0.008119
                     21,                0.35773,                0.31008,                 1.0927,                0.45885,                0.57947,                0.51933,                0.48012,                 0.3221,                0.43973,                 1.4653,                0.00802,                0.00802,                0.00802
                     22,                0.35484,                0.30765,                 1.0878,                0.45516,                0.58408,                0.52286,                0.48307,                0.32419,                0.44399,                 1.4713,               0.007921,               0.007921,               0.007921
                     23,                0.35189,                0.30485,                 1.0863,                 0.4657,                0.59928,                0.54041,                0.49796,                0.32187,                0.43415,                 1.4639,               0.007822,               0.007822,               0.007822
                     24,                0.35001,                0.30071,                 1.0867,                0.45664,                0.59472,                  0.521,                 0.4792,                0.32143,                 0.4459,                 1.4615,               0.007723,               0.007723,               0.007723
                     25,                0.34687,                    0.3,                 1.0866,                0.47223,                0.54689,                0.51542,                0.47723,                0.31849,                0.44841,                 1.4804,               0.007624,               0.007624,               0.007624
                     26,                0.34458,                0.29687,                 1.0848,                0.46071,                 0.5846,                0.52231,                0.48352,                0.31901,                0.43224,                 1.4712,               0.007525,               0.007525,               0.007525
                     27,                0.34344,                0.29419,                 1.0854,                0.47363,                0.58946,                0.52042,                0.48146,                0.32009,                0.44282,                 1.4724,               0.007426,               0.007426,               0.007426
